state,cd_2020,cd_2010,pop,vap,pop_overlap,vap_overlap
KY,1,2,42208,33266,0.056247259798427776,0.057238819709590334
KY,1,6,55362,43637,0.0737765541357221,0.07508358010182749
KY,2,1,66308,51159,0.08821048766665514,0.08912655660936161
KY,2,2,652048,497135,0.867428848133968,0.8660828147539041
KY,2,3,7244,5684,0.009636797560735504,0.0099023700183274
KY,2,4,26102,20026,0.034723866638641375,0.03488825861840684
KY,3,3,749608,588653,0.9999799899416106,0.9999779161697805
KY,3,4,15,13,2.0010058389350382e-5,2.2083830219513273e-5
KY,4,2,31338,23938,0.04166849493204836,0.04195652212015571
KY,4,4,708185,536749,0.9416364504260856,0.9407687063025925
KY,4,5,3178,2494,0.00422561991492915,0.004371274382474239
KY,4,6,9378,7362,0.01246943472693693,0.012903497194777607
KY,5,4,39241,30956,0.052363643157004196,0.0529583344025593
KY,5,5,690203,538312,0.9210148466627702,0.920923469082262
KY,5,6,19950,15267,0.026621510180225624,0.026118196515178733
KY,6,2,53054,41091,0.07049082094024078,0.07024426768414953
KY,6,6,699583,543882,0.9295091790597593,0.9297557323158505
LA,1,1,760432,589491,0.9795998289250619,0.9799387923711557
LA,1,2,6641,5215,0.008555035116738033,0.008669141347731477
LA,1,5,2658,2032,0.003424075190526983,0.0033778897830470493
LA,1,6,6537,4821,0.00842106076767302,0.008014176498065859
LA,2,1,1429,1192,0.0018413358640426663,0.001986653422310518
LA,2,2,770550,595776,0.9928910777033426,0.9929533803107979
LA,2,6,4088,3036,0.00526758643261471,0.005059966266891554
LA,3,3,776275,586488,1,1
LA,4,3,3382,2461,0.004356377997586087,0.004163459342406889
LA,4,4,729205,555563,0.9392940915818341,0.9398878352887438
LA,4,5,43746,33071,0.05634953042057983,0.05594870536884934
LA,5,1,46442,35912,0.05982658252144531,0.06011493348555129
LA,5,5,691348,531368,0.8905944656353337,0.8894840715178887
LA,5,6,38487,30109,0.04957895184322091,0.050400994996560033
LA,6,1,4405,3303,0.005672620879623251,0.005560484366503763
LA,6,2,675,515,8.69243835129556e-4,8.669843925974684e-4
LA,6,3,6167,4621,0.007941669231472551,0.007779291025617284
LA,6,6,765290,585574,0.9855164660537746,0.9857932402152815
ME,1,1,667538,546214,0.9774732692752613,0.9780017905102955
ME,1,2,15384,12286,0.022526730724738698,0.021998209489704566
ME,2,1,38416,31456,0.056540930211336736,0.05702838184504655
ME,2,2,641021,520129,0.9434590697886632,0.9429716181549535
MD,1,1,650167,512793,0.8408781686497672,0.8432777773209779
MD,1,2,107500,83152,0.13903259182617692,0.13674179198973846
MD,1,7,15533,12150,0.020089239524055873,0.019980430689283745
MD,2,1,93911,73639,0.12202303223551454,0.12158632349930323
MD,2,2,343354,269584,0.4461361950164822,0.44511369565360964
MD,2,3,153285,122371,0.19917049649371052,0.20204837101173612
MD,2,7,91839,71785,0.1193307840133469,0.11852515966264456
MD,2,8,87228,68273,0.11333949224094582,0.11272645017270644
MD,3,2,121661,91928,0.15791085884577793,0.15524051573463477
MD,3,3,306964,237615,0.3984263558143972,0.40126485016844965
MD,3,4,148165,114909,0.1923119356316707,0.1940489559497775
MD,3,7,173984,132606,0.2258239112404454,0.2239342075266184
MD,3,8,19667,15107,0.025526938467708753,0.02551147062051962
MD,4,3,36230,27611,0.0464832824407893,0.04553430368516008
MD,4,4,519658,399791,0.6667239742372534,0.659309869421384
MD,4,5,223532,178976,0.28679274332195737,0.2951558268934559
MD,5,2,30200,23344,0.03937459582368525,0.039476443332093214
MD,5,3,33840,25968,0.044120408035546656,0.04391382284303447
MD,5,4,131105,101329,0.17093398627365083,0.17135488889640477
MD,5,5,571847,440699,0.7455710098671172,0.7452548449284675
